                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2 
                                     300                                      611                  1.3999999999999999E+000                  2.7000000000000000E-002                  3.5276119919767931E+004                  5.2317105374295761E+002                  3.6960258623526347E+003                  2.3657807461453839E+001                  1.1878895997787426E+001                 -7.0419963915520185E+000                  6.8300000000000005E-001                  3.0861836510107854E-005                  2.8996913816348990E-001                  4.6461743245962356E-003                  1.3610140382294097E-003                  1.2636602922338912E-002                  2.8342709320918146E-003                  1.3999999999999999E+000                  0.0000000000000000E+000                  9.5620000000000049E-001                  4.3206571114151000E-005                  4.0595679342888580E-001                  6.5046440544347306E-003                  1.9054196535211729E-003                  1.7691244091274486E-002                  3.9679793049285398E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3999996693593220E+000                  1.1862210814272098E+001                  1.3999995232924551E+000                  1.1855831511588837E+001                  3.4644450209232332E+005                  1.6371370508893899E+005                  5.9177081489104569E+008                  2.1689829035104107E-013                  2.1689829035104107E-013                  0.0000000000000000E+000                  8.6774003045580321E-015                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80                                       81                                       82                                       83                                       84                                       85                                       86                                       87                                       88                                       89                                       90                                       91                                       92                                       93                                       94                                       95                                       96                                       97 
                                    zone                                     logT                                   logRho                                     logP                                     logR                               luminosity                                 eps_grav                log_abs_eps_grav_dm_div_L                      signed_log_eps_grav                               net_energy                         signed_log_power                                 velocity                                  entropy                              mixing_type                                   csound                                 v_div_cs                                      eta                                       mu                                       dm                                    logdq                                 dq_ratio                                        q                                    log_q                                   radius                                     rmid                              temperature                                      tau                                   logtau                                 pressure                          pgas_div_ptotal                                  logPgas                                    grada                                   free_e                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                                     abar                                       ye                              log_opacity                                  eps_nuc                          log_abs_eps_nuc                          d_lnepsnuc_dlnd                          d_lnepsnuc_dlnT                              non_nuc_neu                        mlt_mixing_length                          mlt_mixing_type                          gradT_sub_grada                            log_mlt_Gamma                                log_D_mix                             log_conv_vel                      conv_vel_div_csound                            log_mlt_D_mix                    pressure_scale_height                               log_D_conv                               log_D_soft                               log_D_semi                                log_D_ovr                               log_D_thrm                            log_D_minimum                                    gradT                                    gradr                                     mass                                    logxq                                    logxm                                        x                                        y                                        z                                       h1                                      he3                                      he4                                      c12                                      n14                                      o16                                     ne20                                     mg24                                       pp                                      cno                                 tri_alfa                                   burn_c                                   burn_n                                   burn_o                                  burn_ne                                  burn_na                                  burn_mg                                  burn_si                                   burn_s                                  burn_ar                                  burn_ca                                  burn_ti                                  burn_cr                                  burn_fe                                  c12_c12                                  c12_o16                                  o16_o16                                    pnhe4                                    photo                                    other 
                                       1                  3.5677372240205454E+000                 -7.3534645825656071E+000                  4.0065770298276782E+000                  1.0747760800097883E+000                  2.3657807461453839E+001                  4.1592732608149351E-002                 -1.5195715300517799E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.4958509245182960E+001                  0.0000000000000000E+000                  1.8838792927264159E+001                                        0                  5.6007137394987070E+005                 -4.9657152654320020E-007                 -1.9999999984644493E+001                  1.3378584475096225E+000                  1.3924400000000186E+021                 -1.2301029995663974E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000                  1.1878895997787426E+001                  1.1878895971505344E+001                  3.6960447772672183E+003                  6.6666666666666663E-001                 -1.7609125905568127E-001                  1.0152594248664753E+004                  9.9995364425173039E-001                  4.0065568973153685E+000                  2.4445036601264702E-001                  9.9999987568055073E-005                  6.8300000000000005E-001                  2.9000000000000004E-001                  2.6999999999999913E-002                  1.3207447860009323E+000                  8.4150514363941842E-001                 -1.7481234550500790E+000                  6.1897771032038493E-027                 -2.6208324989847657E+001                  6.1916800394951182E-027                  2.1506777209595251E-027                  0.0000000000000000E+000                  8.4251255875666416E+008                                        0                 -1.1943001107478368E-001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  1.2105413356082994E-002                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  1.2502035493786334E-001                  1.2502035493786334E-001                  1.3999999999999999E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  6.8300000000000005E-001                  2.9000000000000004E-001                  2.6999999999999913E-002                  6.8300000000000005E-001                  3.0861836510107854E-005                  2.8996913816348990E-001                  4.6461743245962356E-003                  1.3610140382294099E-003                  1.2636602922338912E-002                  2.8342709320918146E-003                  5.5219377827435412E-003                  6.1897771032038486E-027                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       2                  3.5677375186753157E+000                 -7.3534625400482749E+000                  4.0065793870302064E+000                  1.0747760780880380E+000                  2.3657807461453825E+001                  4.1593532478773607E-002                 -1.5019615689617062E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.4958509245182960E+001                  0.0000000000000000E+000                  1.8838790521414825E+001                                        0                  5.6007174307288416E+005                 -4.9657139832854168E-007                 -1.9999999984643985E+001                  1.3378583860846531E+000                  2.0886600000000292E+021                 -1.2124938736608293E+001                  6.6666666666666630E-001                  9.9999999999949996E-001                 -2.1716654546785455E-013                  1.1878895945223386E+001                  1.1878895905800514E+001                  3.6960472849150019E+003                  6.6666956199282446E-001                 -1.7608937292351651E-001                  1.0152649353637933E+004                  9.9995364437752976E-001                  4.0065592545725330E+000                  2.4445087108178520E-001                  9.9999987568060223E-005                  6.8300000000000016E-001                  2.9000000000000004E-001                  2.6999999999999802E-002                  1.3207447860009323E+000                  8.4150514363941842E-001                 -1.7481199979806827E+000                  6.1898062231767662E-027                 -2.6208322946702388E+001                  6.1917091728952987E-027                  2.1506892978053263E-027                  0.0000000000000000E+000                  8.4251279549191678E+008                                        0                 -1.1942967931370813E-001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  1.2105422020414085E-002                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  1.2502088872659417E-001                  1.2502088872659417E-001                  1.3999999999992998E+000                 -1.2301029995663974E+001                 -1.2154901959985736E+001                  6.8300000000000016E-001                  2.9000000000000004E-001                  2.6999999999999802E-002                  6.8300000000000016E-001                  3.0861836510107854E-005                  2.8996913816348990E-001                  4.6461743245962365E-003                  1.3610140382294101E-003                  1.2636602922338917E-002                  2.8342709320918155E-003                  5.5219377827435395E-003                  6.1898062231767662E-027                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       3                  3.5677378722633071E+000                 -7.3534600890468251E+000                  4.0065822156564481E+000                  1.0747760752054254E+000                  2.3657807461453807E+001                  4.1594492295121847E-002                 -1.5019605667911538E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.4958509245182960E+001                  0.0000000000000000E+000                  1.8838787634441157E+001                                        0                  5.6007218602536665E+005                 -4.9657100964103328E-007                 -1.9999999984643388E+001                  1.3378583123737262E+000                  2.0886600000000292E+021                 -1.2124938736608293E+001                  1.0000000000000000E+000                  9.9999999999875000E-001                 -5.4286814729651227E-013                  1.1878895866377686E+001                  1.1878895826954983E+001                  3.6960502941138770E+003                  6.6667390501668045E-001                 -1.7608654371807603E-001                  1.0152715479607983E+004                  9.9995364452848601E-001                  4.0065620832643365E+000                  2.4445147717399776E-001                  9.9999987568065373E-005                  6.8300000000000016E-001                  2.9000000000000004E-001                  2.6999999999999802E-002                  1.3207447860009323E+000                  8.4150514363941842E-001                 -1.7481158733392645E+000                  6.1898411670492658E-027                 -2.6208320494947419E+001                  6.1917441328805126E-027                  2.1507031900179304E-027                  0.0000000000000000E+000                  8.4251351688246810E+008                                        0                 -1.1942868746041119E-001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  1.2105432385553512E-002                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  1.2502248666748028E-001                  1.2502248666748028E-001                  1.3999999999982498E+000                 -1.1903089986991937E+001                 -1.1756961951313698E+001                  6.8300000000000016E-001                  2.9000000000000004E-001                  2.6999999999999802E-002                  6.8300000000000016E-001                  3.0861836510107854E-005                  2.8996913816348990E-001                  4.6461743245962365E-003                  1.3610140382294101E-003                  1.2636602922338917E-002                  2.8342709320918155E-003                  5.5219377827435395E-003                  6.1898411670492658E-027                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       4                  3.5677383584497786E+000                 -7.3534567189531215E+000                  4.0065861049875817E+000                  1.0747760723228286E+000                  2.3657807461453778E+001                  4.1595812005536116E-002                 -1.4776553840144725E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.4958509245182960E+001                  0.0000000000000000E+000                  1.8838783664924268E+001                                        0                  5.6007279509182321E+005                 -4.9657062095012753E-007                 -1.9999999984642571E+001                  1.3378582110199524E+000                  3.6551550000000454E+021                 -1.1881900687921998E+001                  5.7142857142857229E-001                  9.9999999999800004E-001                 -8.6856974912541418E-013                  1.1878895787532407E+001                  1.1878895718543312E+001                  3.6960544317917247E+003                  6.6667824808184140E-001                 -1.7608371450415894E-001                  1.0152806402819931E+004                  9.9995364473604564E-001                  4.0065659726856167E+000                  2.4445231056392139E-001                  9.9999987568072664E-005                  6.8300000000000005E-001                  2.9000000000000004E-001                  2.6999999999999913E-002                  1.3207447860009323E+000                  8.4150514363941842E-001                 -1.7481101512933652E+000                  6.1898892147214890E-027                 -2.6208317123817633E+001                  6.1917922027077178E-027                  2.1507222918066690E-027                  0.0000000000000000E+000                  8.4251423827899861E+008                                        0                 -1.1942769373141349E-001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  1.2105446697987399E-002                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  1.2502408649346561E-001                  1.2502408649346561E-001                  1.3999999999971999E+000                 -1.1698970004336012E+001                 -1.1552841968657773E+001                  6.8300000000000005E-001                  2.9000000000000004E-001                  2.6999999999999913E-002                  6.8300000000000005E-001                  3.0861836510107861E-005                  2.8996913816348990E-001                  4.6461743245962356E-003                  1.3610140382294097E-003                  1.2636602922338917E-002                  2.8342709320918155E-003                  5.5219377827435395E-003                  6.1898892147214890E-027                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       5                  3.5677389772395327E+000                 -7.3534524298009050E+000                  4.0065910549952939E+000                  1.0747760672783251E+000                  2.3657807461453739E+001                  4.1597491553679485E-002                 -1.4776536304635023E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.4958509245182960E+001                  0.0000000000000000E+000                  1.8838778612948310E+001                                        0                  5.6007357028219651E+005                 -4.9656994073086783E-007                 -1.9999999984641519E+001                  1.3378580820212702E+000                  3.6551550000000454E+021                 -1.1881900687921998E+001                  1.0000000000000000E+000                  9.9999999999668754E-001                 -1.4385837146065762E-012                  1.1878895649554300E+001                  1.1878895580565880E+001                  3.6960596979932052E+003                  6.6668584854615109E-001                 -1.7607876335882966E-001                  1.0152922123278055E+004                  9.9995364500020267E-001                  4.0065709228080566E+000                  2.4445337127025440E-001                  9.9999987568082435E-005                  6.8300000000000005E-001                  2.9000000000000004E-001                  2.6999999999999913E-002                  1.3207447860009323E+000                  8.4150514363941842E-001                 -1.7481029272104180E+000                  6.1899503660175823E-027                 -2.6208312833346778E+001                  6.1918533822010564E-027                  2.1507466031670078E-027                  0.0000000000000000E+000                  8.4251550073632061E+008                                        0                 -1.1942595383993579E-001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  1.2105464837365578E-002                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  1.2502688707715212E-001                  1.2502688707715212E-001                  1.3999999999953625E+000                 -1.1479844113055130E+001                 -1.1333716077376891E+001                  6.8300000000000005E-001                  2.9000000000000004E-001                  2.6999999999999913E-002                  6.8300000000000005E-001                  3.0861836510107861E-005                  2.8996913816348990E-001                  4.6461743245962356E-003                  1.3610140382294097E-003                  1.2636602922338917E-002                  2.8342709320918155E-003                  5.5219377827435395E-003                  6.1899503660175830E-027                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       6                  3.5677399054340899E+000                 -7.3534459961890226E+000                  4.0065984799015286E+000                  1.0747760622338711E+000                  2.3657807461453700E+001                  4.1600010716283477E-002                 -1.4475480008700277E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.4958509245182960E+001                  0.0000000000000000E+000                  1.8838771035233005E+001                                        0                  5.6007473309064133E+005                 -4.9656926050018611E-007                 -1.9999999984639949E+001                  1.3378578885190997E+000                  7.3103100000000897E+021                 -1.1580870692258019E+001                  5.0000000000000011E-001                  9.9999999999537503E-001                 -2.0085976800884864E-012                  1.1878895511577547E+001                  1.1878895373602818E+001                  3.6960675973939638E+003                  6.6669344913706508E-001                 -1.7607381218747289E-001                  1.0153095703975750E+004                  9.9995364539641973E-001                  4.0065783478863732E+000                  2.4445496237413900E-001                  9.9999987568097533E-005                  6.8300000000000005E-001                  2.9000000000000004E-001                  2.6999999999999913E-002                  1.3207447860009323E+000                  8.4150514363941842E-001                 -1.7480920076394955E+000                  6.1900420924344652E-027                 -2.6208306397756964E+001                  6.1919451509138260E-027                  2.1507830701951699E-027                  0.0000000000000000E+000                  8.4251676321247804E+008                                        0                 -1.1942421435204653E-001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  1.2105492187398341E-002                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  1.2502968728616942E-001                  1.2502968728616942E-001                  1.3999999999935251E+000                 -1.1334888262924942E+001                 -1.1188760227246703E+001                  6.8300000000000005E-001                  2.9000000000000004E-001                  2.6999999999999913E-002                  6.8300000000000005E-001                  3.0861836510107861E-005                  2.8996913816348990E-001                  4.6461743245962356E-003                  1.3610140382294097E-003                  1.2636602922338917E-002                  2.8342709320918150E-003                  5.5219377827435395E-003                  6.1900420924344659E-027                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       7                  3.5677417029294887E+000                 -7.3534335378518536E+000                  4.0066128579321569E+000                  1.0747760521451111E+000                  2.3657807461453618E+001                  4.1604888511080719E-002                 -1.4195588392042957E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.4958509245182952E+001                  0.0000000000000000E+000                  1.8838756361818842E+001                                        0                  5.6007698496610578E+005                 -4.9656790000339825E-007                 -1.9999999984636901E+001                  1.3378575137840711E+000                  1.3924400000000183E+022                 -1.1301029995663974E+001                  5.2499999999999958E-001                  9.9999999999275002E-001                 -3.1486256110545511E-012                  1.1878895235628093E+001                  1.1878894972826565E+001                  3.6960828950284626E+003                  6.6670865070163454E-001                 -1.7606390976477551E-001                  1.0153431844414081E+004                  9.9995364616363291E-001                  4.0065927262502141E+000                  2.4445804372799437E-001                  9.9999987568127375E-005                  6.8300000000000005E-001                  2.8999999999999998E-001                  2.6999999999999913E-002                  1.3207447860009325E+000                  8.4150514363941853E-001                 -1.7480709314371030E+000                  6.1902197194838733E-027                 -2.6208293935589591E+001                  6.1921228598695704E-027                  2.1508536888394477E-027                  0.0000000000000000E+000                  8.4251928822718585E+008                                        0                 -1.1942072621759584E-001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  1.2105545134512374E-002                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  1.2503529695049334E-001                  1.2503529695049334E-001                  1.3999999999898498E+000                 -1.1139661993429000E+001                 -1.0993533957750762E+001                  6.8300000000000005E-001                  2.8999999999999998E-001                  2.6999999999999913E-002                  6.8300000000000005E-001                  3.0861836510107854E-005                  2.8996913816348985E-001                  4.6461743245962374E-003                  1.3610140382294097E-003                  1.2636602922338912E-002                  2.8342709320918146E-003                  5.5219377827435412E-003                  6.1902197194838733E-027                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       8                  3.5677440604012749E+000                 -7.3534171998799867E+000                  4.0066317136483454E+000                  1.0747760329289746E+000                  2.3657807461453480E+001                  4.1611284401003798E-002                 -1.4195521633392353E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.4958509245182952E+001                  0.0000000000000000E+000                  1.8838737119959276E+001                                        0                  5.6007993846020533E+005                 -4.9656530845365378E-007                 -1.9999999984632908E+001                  1.3378570222853789E+000                  1.3924400000000183E+022                 -1.1301029995663974E+001                  1.0000000000000000E+000                  9.9999999998775002E-001                 -5.3200982002604150E-012                  1.1878894710025129E+001                  1.1878894447233447E+001                  3.6961029584535286E+003                  6.6673760746990363E-001                 -1.7604504771525845E-001                  1.0153872684427773E+004                  9.9995364716967516E-001                  4.0066115824033419E+000                  2.4446208525526544E-001                  9.9999987568168765E-005                  6.8300000000000005E-001                  2.8999999999999998E-001                  2.6999999999999913E-002                  1.3207447860009325E+000                  8.4150514363941853E-001                 -1.7480432987237853E+000                  6.1904526688698799E-027                 -2.6208277592594680E+001                  6.1923559166736075E-027                  2.1509463033520860E-027                  0.0000000000000000E+000                  8.4252409795531297E+008                                        0                 -1.1941409638137523E-001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  1.2105614243232662E-002                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  1.2504596811025467E-001                  1.2504596811025467E-001                  1.3999999999828499E+000                 -1.0911863911299442E+001                 -1.0765735875621203E+001                  6.8300000000000005E-001                  2.8999999999999998E-001                  2.6999999999999913E-002                  6.8300000000000005E-001                  3.0861836510107854E-005                  2.8996913816348985E-001                  4.6461743245962374E-003                  1.3610140382294097E-003                  1.2636602922338912E-002                  2.8342709320918146E-003                  5.5219377827435412E-003                  6.1904526688698799E-027                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       9                  3.5677474494055934E+000                 -7.3533937156285889E+000                  4.0066588173124291E+000                  1.0747760137135587E+000                  2.3657807461453331E+001                  4.1620476411714374E-002                 -1.3922424435458332E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.4958509245182952E+001                  0.0000000000000000E+000                  1.8838709463191780E+001                                        0                  5.6008418442551233E+005                 -4.9656271673383599E-007                 -1.9999999984627166E+001                  1.3378563156980368E+000                  2.6108250000000364E+022                 -1.1028028723600237E+001                  5.3333333333333288E-001                  9.9999999998275002E-001                 -7.4915707894771351E-012                  1.1878894184441899E+001                  1.1878893691734202E+001                  3.6961318009976640E+003                  6.6676656608321672E-001                 -1.7602618528315384E-001                  1.0154506392093121E+004                  9.9995364861561109E-001                  4.0066386866954167E+000                  2.4446789556525855E-001                  9.9999987568232353E-005                  6.8300000000000005E-001                  2.9000000000000004E-001                  2.6999999999999913E-002                  1.3207447860009323E+000                  8.4150514363941842E-001                 -1.7480035185838625E+000                  6.1907875263982805E-027                 -2.6208254101122979E+001                  6.1926909286156391E-027                  2.1510794365444011E-027                  0.0000000000000000E+000                  8.4252890794837332E+008                                        0                 -1.1940746173618194E-001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  1.2105714060733823E-002                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  1.2505664449647241E-001                  1.2505664449647241E-001                  1.3999999999758499E+000                 -1.0763210900590700E+001                 -1.0617082864912463E+001                  6.8300000000000005E-001                  2.9000000000000004E-001                  2.6999999999999913E-002                  6.8300000000000005E-001                  3.0861836510107847E-005                  2.8996913816348990E-001                  4.6461743245962356E-003                  1.3610140382294097E-003                  1.2636602922338912E-002                  2.8342709320918146E-003                  5.5219377827435412E-003                  6.1907875263982805E-027                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
