                                                                                                                                                                                                                                                                



                        1                        2                        3                        4                        5                        6                        7
                        l                     n_pg                      n_p                      n_g                 Re(freq)                 Im(freq)                   E_norm
                        0                        1                        1                        0  0.3074820088639259E+001  0.0000000000000000E+000  0.1597265623836159E+000
                        0                        2                        2                        0  0.6619679690345125E+001  0.0000000000000000E+000  0.8794776550117818E-002
                        0                        3                        3                        0  0.9587967475227339E+001  0.0000000000000000E+000  0.1358039377558652E-002
                        0                        4                        4                        0  0.1236678856533085E+002  0.0000000000000000E+000  0.3006958796337289E-003
                        0                        5                        5                        0  0.1505157410580861E+002  0.0000000000000000E+000  0.8049683835403240E-004
                        0                        6                        6                        0  0.1767685066076286E+002  0.0000000000000000E+000  0.2272626931999122E-004
