                                                                                                                                                                                                                                                                



                        1                        2                        3                        4                        5                        6                        7
                        l                     n_pg                      n_p                      n_g                 Re(freq)                 Im(freq)                   E_norm
                        0                        1                        1                        0  0.7121940654811379E-001  0.0000000000000000E+000  0.4988070873407954E-001
                        0                       14                       14                        0  0.7210346005912855E+000  0.0000000000000000E+000  0.1074954308100372E-007
                        0                       25                       25                        0  0.1221066183009479E+001  0.0000000000000000E+000  0.4124706819537565E-008
                        0                       46                       46                        0  0.2219017617157312E+001  0.0000000000000000E+000  0.6367779998624585E-008
                        0                       67                       67                        0  0.3222908739808430E+001  0.0000000000000000E+000  0.5561952919948267E-008
                        0                       88                       88                        0  0.4231275926209792E+001  0.0000000000000000E+000  0.5374642909582565E-008
                        0                      111                      111                        0  0.5334529183838282E+001  0.0000000000000000E+000  0.5777349356111064E-008
                        0                      134                      134                        0  0.6437506072141000E+001  0.0000000000000000E+000  0.5936781948704943E-008
                        0                      155                      155                        0  0.7445081412971414E+001  0.0000000000000000E+000  0.5454380861893134E-008
                        0                      178                      178                        0  0.8549204705712933E+001  0.0000000000000000E+000  0.5496128492911097E-008
                        0                      201                      201                        0  0.9653513466870747E+001  0.0000000000000000E+000  0.5593851393166083E-008
                        0                      224                      224                        0  0.1075774715845663E+002  0.0000000000000000E+000  0.5695532070326267E-008
                        0                      247                      247                        0  0.1186183507115647E+002  0.0000000000000000E+000  0.5731943586416970E-008
                        0                      268                      268                        0  0.1286984350028087E+002  0.0000000000000000E+000  0.5628616682457432E-008
                        0                      291                      291                        0  0.1397412243908720E+002  0.0000000000000000E+000  0.5617245558731325E-008
                        0                      314                      314                        0  0.1507840844937067E+002  0.0000000000000000E+000  0.5653217765730074E-008
                        0                      337                      337                        0  0.1618271851518673E+002  0.0000000000000000E+000  0.5694031928797886E-008
                        0                      360                      360                        0  0.1728701336813006E+002  0.0000000000000000E+000  0.5697548632722159E-008
                        0                      383                      383                        0  0.1839127424992481E+002  0.0000000000000000E+000  0.5698398796158707E-008
                        0                      404                      404                        0  0.1939954507366781E+002  0.0000000000000000E+000  0.5659494540071072E-008
