                                                                                                                                                                                                                                                                



                        1                        2                        3                        4                        5                        6                        7
                        l                     n_pg                      n_p                      n_g                 Re(freq)                 Im(freq)                   E_norm
                        0                        1                        1                        0  0.7122846108837817E-001  0.0000000000000000E+000  0.4196903790209221E-001
                        0                       10                       10                        0  0.5167965224893882E+000  0.0000000000000000E+000  0.7185118051502224E-007
                        0                       15                       15                        0  0.7148185872667890E+000  0.0000000000000000E+000  0.3423116537822677E-008
                        0                       24                       24                        0  0.1117485955354848E+001  0.0000000000000000E+000  0.5138172158137556E-008
                        0                       33                       33                        0  0.1519338224108924E+001  0.0000000000000000E+000  0.6203787300102741E-008
                        0                       44                       44                        0  0.2018271353985590E+001  0.0000000000000000E+000  0.5478135165304129E-008
                        0                       55                       55                        0  0.2519567917488284E+001  0.0000000000000000E+000  0.4790284614893121E-008
                        0                       66                       66                        0  0.3022438275966483E+001  0.0000000000000000E+000  0.4520414559704939E-008
                        0                       77                       77                        0  0.3525564388495365E+001  0.0000000000000000E+000  0.4656583130631327E-008
                        0                       88                       88                        0  0.4028271280770426E+001  0.0000000000000000E+000  0.5119889116590924E-008
                        0                       99                       99                        0  0.4529986267409251E+001  0.0000000000000000E+000  0.5626268033415465E-008
                        0                      110                      110                        0  0.5031560621752310E+001  0.0000000000000000E+000  0.5698690218514775E-008
                        0                      121                      121                        0  0.5533242969059408E+001  0.0000000000000000E+000  0.5555184565201873E-008
                        0                      132                      132                        0  0.6035480075107374E+001  0.0000000000000000E+000  0.5088982190818277E-008
                        0                      143                      143                        0  0.6538615694929237E+001  0.0000000000000000E+000  0.4858617300800306E-008
                        0                      154                      154                        0  0.7041727115334915E+001  0.0000000000000000E+000  0.4821236096987787E-008
                        0                      165                      165                        0  0.7544876131500586E+001  0.0000000000000000E+000  0.5055983544187588E-008
                        0                      176                      176                        0  0.8047217852790023E+001  0.0000000000000000E+000  0.5318931346358493E-008
                        0                      187                      187                        0  0.8549559781346087E+001  0.0000000000000000E+000  0.5403213420657837E-008
                        0                      198                      198                        0  0.9051617651060477E+001  0.0000000000000000E+000  0.5383972110769819E-008
                        0                      209                      209                        0  0.9554236550742880E+001  0.0000000000000000E+000  0.5115876262924831E-008
                        0                      220                      220                        0  0.1005706593799901E+002  0.0000000000000000E+000  0.5017899496032305E-008
                        0                      231                      231                        0  0.1056008871126858E+002  0.0000000000000000E+000  0.4921678405234728E-008
                        0                      242                      242                        0  0.1106310565755939E+002  0.0000000000000000E+000  0.5104229148734472E-008
                        0                      253                      253                        0  0.1156566707610613E+002  0.0000000000000000E+000  0.5186572950661727E-008
                        0                      264                      264                        0  0.1206827822402060E+002  0.0000000000000000E+000  0.5330240352307007E-008
                        0                      275                      275                        0  0.1257056509246030E+002  0.0000000000000000E+000  0.5274576427934021E-008
                        0                      288                      288                        0  0.1316510082686823E+002  0.0000000000000000E+000  0.5228929038215674E-008
                        0                      299                      299                        0  0.1366769262092309E+002  0.0000000000000000E+000  0.5324446647610079E-008
                        0                      310                      310                        0  0.1417012190927334E+002  0.0000000000000000E+000  0.5192539811578578E-008
                        0                      321                      321                        0  0.1467305680631959E+002  0.0000000000000000E+000  0.5139603035196774E-008
                        0                      332                      332                        0  0.1517570008496541E+002  0.0000000000000000E+000  0.5061705596021088E-008
                        0                      343                      343                        0  0.1567880300347617E+002  0.0000000000000000E+000  0.5083882428754880E-008
                        0                      354                      354                        0  0.1618146567600828E+002  0.0000000000000000E+000  0.5159828473950769E-008
                        0                      365                      365                        0  0.1668423151075478E+002  0.0000000000000000E+000  0.5179709598953664E-008
                        0                      376                      376                        0  0.1718679953265288E+002  0.0000000000000000E+000  0.5271957523443358E-008
                        0                      387                      387                        0  0.1768944614734414E+002  0.0000000000000000E+000  0.5146290604062781E-008
                        0                      398                      398                        0  0.1819219310337210E+002  0.0000000000000000E+000  0.5194372402344876E-008
                        0                      409                      409                        0  0.1869495695418821E+002  0.0000000000000000E+000  0.5067583050310013E-008
                        0                      420                      420                        0  0.1919790879929052E+002  0.0000000000000000E+000  0.5150383231639981E-008
                        0                      431                      431                        0  0.1970057626648558E+002  0.0000000000000000E+000  0.5120607289195609E-008
