                                                                                                                                                                                                                                                                



                        1                        2                        3                        4                        5                        6                        7
                        l                     n_pg                      n_p                      n_g                 Re(freq)                 Im(freq)                   E_norm
                        0                        1                        1                        0  0.9552204296975382E+000  0.0000000000000000E+000  0.1360897186974851E+000
                        0                        2                        2                        0  0.2038885107042426E+001  0.0000000000000000E+000  0.5331787633856696E-002
                        0                        3                        3                        0  0.2911446047137923E+001  0.0000000000000000E+000  0.6157793744945246E-003
                        0                        4                        4                        0  0.3728997253901452E+001  0.0000000000000000E+000  0.1012429510845868E-003
                        0                        5                        5                        0  0.4488466159873678E+001  0.0000000000000000E+000  0.1868682069024406E-004
                        0                        6                        6                        0  0.5177347654142830E+001  0.0000000000000000E+000  0.5667505198448187E-005
                        0                        7                        7                        0  0.5885515693977769E+001  0.0000000000000000E+000  0.2360633872300282E-005
                        0                        8                        8                        0  0.6581000537380448E+001  0.0000000000000000E+000  0.1057181139646628E-005
                        0                        9                        9                        0  0.7269094294249118E+001  0.0000000000000000E+000  0.6301936615017226E-006
                        0                       10                       10                        0  0.7985565832251289E+001  0.0000000000000000E+000  0.4036354537714818E-006
                        0                       11                       11                        0  0.8702917390874733E+001  0.0000000000000000E+000  0.2479306419430130E-006
                        0                       12                       12                        0  0.9420362534172517E+001  0.0000000000000000E+000  0.1582439401875772E-006
                        0                       13                       13                        0  0.1014885398082017E+002  0.0000000000000000E+000  0.9424711321684075E-007
                        0                       14                       14                        0  0.1088208407486279E+002  0.0000000000000000E+000  0.5720780011941741E-007
                        0                       15                       15                        0  0.1161594868049306E+002  0.0000000000000000E+000  0.3709188532686737E-007
                        0                       16                       16                        0  0.1235243254040255E+002  0.0000000000000000E+000  0.2312596065971948E-007
                        0                       17                       17                        0  0.1308887068064175E+002  0.0000000000000000E+000  0.1363735315860720E-007
                        0                       18                       18                        0  0.1382382736501640E+002  0.0000000000000000E+000  0.7560781088749930E-008
                        0                       19                       19                        0  0.1455564081464710E+002  0.0000000000000000E+000  0.3878905455985652E-008
                        0                       20                       20                        0  0.1527891398478414E+002  0.0000000000000000E+000  0.1815617492515821E-008
                        0                       21                       21                        0  0.1598506032611327E+002  0.0000000000000000E+000  0.7897997877460208E-009
                        0                       22                       22                        0  0.1666028624936024E+002  0.0000000000000000E+000  0.3456711649909347E-009
                        0                       23                       23                        0  0.1729534242276286E+002  0.0000000000000000E+000  0.1871417150947527E-009
                        0                       24                       24                        0  0.1792147367576714E+002  0.0000000000000000E+000  0.1461323703310987E-009
                        0                       25                       25                        0  0.1858230320297274E+002  0.0000000000000000E+000  0.1442495643932567E-009
                        0                       26                       26                        0  0.1927810722467286E+002  0.0000000000000000E+000  0.1428541178465272E-009
                        0                       27                       27                        0  0.1999344627052174E+002  0.0000000000000000E+000  0.1255759352199071E-009
