                                                                                                                                                                                                                                                                



                        1                        2                        3                        4                        5                        6                        7
                        l                     n_pg                      n_p                      n_g                 Re(freq)                 Im(freq)                   E_norm
                        0                        1                        1                        0  0.2888702089018512E+000  0.0000000000000000E+000  0.9682817183433752E-001
                        0                        2                        2                        0  0.5944702755124228E+000  0.0000000000000000E+000  0.2468152012106320E-002
                        0                        3                        3                        0  0.8345661426335467E+000  0.0000000000000000E+000  0.2032761766403468E-003
                        0                        4                        4                        0  0.1033923177803856E+001  0.0000000000000000E+000  0.3354676984847039E-004
                        0                        5                        5                        0  0.1234144103638914E+001  0.0000000000000000E+000  0.1277999625011157E-004
                        0                        6                        6                        0  0.1431966556567876E+001  0.0000000000000000E+000  0.5566105854350268E-005
                        0                        7                        7                        0  0.1638075024292736E+001  0.0000000000000000E+000  0.3530440265527669E-005
                        0                        8                        8                        0  0.1850269040104355E+001  0.0000000000000000E+000  0.1891421695264148E-005
                        0                        9                        9                        0  0.2059917024670346E+001  0.0000000000000000E+000  0.1067526948069476E-005
                        0                       10                       10                        0  0.2276149247212060E+001  0.0000000000000000E+000  0.4818097674307793E-006
                        0                       11                       11                        0  0.2491435241219055E+001  0.0000000000000000E+000  0.2583630335836823E-006
                        0                       12                       12                        0  0.2706869197053422E+001  0.0000000000000000E+000  0.1281705132550796E-006
                        0                       13                       13                        0  0.2921001688717574E+001  0.0000000000000000E+000  0.5544763865253796E-007
                        0                       14                       14                        0  0.3131214851917715E+001  0.0000000000000000E+000  0.2082030245721125E-007
                        0                       15                       15                        0  0.3331803742473236E+001  0.0000000000000000E+000  0.6991862223685422E-008
                        0                       16                       16                        0  0.3514338146311454E+001  0.0000000000000000E+000  0.2858255506680241E-008
                        0                       17                       17                        0  0.3688639917429359E+001  0.0000000000000000E+000  0.2000744881176933E-008
                        0                       18                       18                        0  0.3878064257026850E+001  0.0000000000000000E+000  0.1981816668833500E-008
                        0                       19                       19                        0  0.4081888069369112E+001  0.0000000000000000E+000  0.1787132659359578E-008
                        0                       20                       20                        0  0.4291102815935302E+001  0.0000000000000000E+000  0.1242808138221639E-008
                        0                       21                       21                        0  0.4499452039731715E+001  0.0000000000000000E+000  0.6389172962275165E-009
                        0                       22                       22                        0  0.4697985270956778E+001  0.0000000000000000E+000  0.2564794887124510E-009
                        0                       23                       23                        0  0.4872515675490715E+001  0.0000000000000000E+000  0.1181475613311115E-009
                        0                       24                       24                        0  0.5033999960489817E+001  0.0000000000000000E+000  0.1055758163176049E-009
                        0                       25                       25                        0  0.5218341673966395E+001  0.0000000000000000E+000  0.1421907994308052E-009
                        0                       26                       26                        0  0.5417384502688972E+001  0.0000000000000000E+000  0.1660954628176659E-009
                        0                       27                       27                        0  0.5616809001423205E+001  0.0000000000000000E+000  0.1519955698536968E-009
                        0                       28                       28                        0  0.5808565394827610E+001  0.0000000000000000E+000  0.1281859700215812E-009
                        0                       29                       29                        0  0.5993362950936921E+001  0.0000000000000000E+000  0.1279164109444461E-009
                        0                       30                       30                        0  0.6182396984477544E+001  0.0000000000000000E+000  0.1628948609437863E-009
                        0                       31                       31                        0  0.6381793237803318E+001  0.0000000000000000E+000  0.2219541744699708E-009
                        0                       32                       32                        0  0.6588324132594162E+001  0.0000000000000000E+000  0.2698413839174564E-009
                        0                       33                       33                        0  0.6797385811856560E+001  0.0000000000000000E+000  0.2735975124188023E-009
                        0                       34                       34                        0  0.7005134616913372E+001  0.0000000000000000E+000  0.2313226993135610E-009
                        0                       35                       35                        0  0.7207442954173094E+001  0.0000000000000000E+000  0.1719104020976829E-009
                        0                       36                       36                        0  0.7400561378865230E+001  0.0000000000000000E+000  0.1298794052356244E-009
                        0                       37                       37                        0  0.7587025580097120E+001  0.0000000000000000E+000  0.1208267013457385E-009
                        0                       38                       38                        0  0.7777476311875103E+001  0.0000000000000000E+000  0.1427296614036088E-009
