                                                                                                                                                                                                                                                                



                        1                        2                        3                        4                        5                        6                        7
                        l                     n_pg                      n_p                      n_g                 Re(freq)                 Im(freq)                   E_norm
                        0                        1                        1                        0  0.8712522935781486E-001  0.0000000000000000E+000  0.5671564394859231E-001
                        0                        2                        2                        0  0.1687994418939150E+000  0.0000000000000000E+000  0.1094759585594497E-002
                        0                        7                        7                        0  0.4743480318067614E+000  0.0000000000000000E+000  0.5836600595065050E-005
                        0                       10                       10                        0  0.6665970630818026E+000  0.0000000000000000E+000  0.1626408158112186E-006
                        0                       19                       19                        0  0.1158618594950081E+001  0.0000000000000000E+000  0.3523935757728098E-008
                        0                       28                       28                        0  0.1671860435353123E+001  0.0000000000000000E+000  0.2986738613064804E-008
                        0                       33                       33                        0  0.1966300097227136E+001  0.0000000000000000E+000  0.2542117233797792E-008
                        0                       40                       40                        0  0.2374027190447483E+001  0.0000000000000000E+000  0.3284866919631106E-008
                        0                       45                       45                        0  0.2670103307628563E+001  0.0000000000000000E+000  0.2835629664681428E-008
                        0                       52                       52                        0  0.3079715706313064E+001  0.0000000000000000E+000  0.3221585847722851E-008
                        0                       57                       57                        0  0.3375596175639175E+001  0.0000000000000000E+000  0.2986878299446112E-008
                        0                       62                       62                        0  0.3670756340691025E+001  0.0000000000000000E+000  0.3241214595247835E-008
                        0                       69                       69                        0  0.4082213655947924E+001  0.0000000000000000E+000  0.3096495140063893E-008
                        0                       74                       74                        0  0.4377106405520041E+001  0.0000000000000000E+000  0.3261322262626332E-008
                        0                       81                       81                        0  0.4789079968981666E+001  0.0000000000000000E+000  0.3113728971062907E-008
                        0                       86                       86                        0  0.5084694801751720E+001  0.0000000000000000E+000  0.3244980356105939E-008
                        0                       91                       91                        0  0.5379519556091545E+001  0.0000000000000000E+000  0.3641671909965337E-008
                        0                       98                       98                        0  0.5792457319193566E+001  0.0000000000000000E+000  0.3449583455936873E-008
                        0                      103                      103                        0  0.6086477504603640E+001  0.0000000000000000E+000  0.3729361386514427E-008
                        0                      108                      108                        0  0.6380196775031818E+001  0.0000000000000000E+000  0.3496161493397002E-008
                        0                      115                      115                        0  0.6793867725222299E+001  0.0000000000000000E+000  0.3635767805213524E-008
                        0                      120                      120                        0  0.7088033240333338E+001  0.0000000000000000E+000  0.3416761732222658E-008
                        0                      127                      127                        0  0.7501416137421958E+001  0.0000000000000000E+000  0.3601756606069877E-008
                        0                      132                      132                        0  0.7796000015917248E+001  0.0000000000000000E+000  0.3255069293377042E-008
                        0                      137                      137                        0  0.8092206433474008E+001  0.0000000000000000E+000  0.3177436898294664E-008
                        0                      144                      144                        0  0.8504688681561943E+001  0.0000000000000000E+000  0.3204320850299227E-008
                        0                      149                      149                        0  0.8800363846566656E+001  0.0000000000000000E+000  0.3332511024934931E-008
                        0                      154                      154                        0  0.9095292410738390E+001  0.0000000000000000E+000  0.3397198003600500E-008
                        0                      161                      161                        0  0.9508332085217663E+001  0.0000000000000000E+000  0.3319512663781458E-008
                        0                      166                      166                        0  0.9803534524572504E+001  0.0000000000000000E+000  0.3430251841669127E-008
                        0                      171                      171                        0  0.1009797727568343E+002  0.0000000000000000E+000  0.3553444088626936E-008
                        0                      178                      178                        0  0.1051132725781677E+002  0.0000000000000000E+000  0.3497754321112863E-008
                        0                      183                      183                        0  0.1080599029023935E+002  0.0000000000000000E+000  0.3440746479005163E-008
                        0                      188                      188                        0  0.1110129041403345E+002  0.0000000000000000E+000  0.3350337391648997E-008
                        0                      195                      195                        0  0.1151433641514201E+002  0.0000000000000000E+000  0.3457716615838943E-008
                        0                      200                      200                        0  0.1180930472462053E+002  0.0000000000000000E+000  0.3354946344842392E-008
                        0                      207                      207                        0  0.1222226913152992E+002  0.0000000000000000E+000  0.3422343765418423E-008
                        0                      212                      212                        0  0.1251778237884404E+002  0.0000000000000000E+000  0.3265879433311886E-008
                        0                      217                      217                        0  0.1281320467127624E+002  0.0000000000000000E+000  0.3369524650731142E-008
                        0                      224                      224                        0  0.1322621362132710E+002  0.0000000000000000E+000  0.3349849096762553E-008
                        0                      229                      229                        0  0.1352122791325990E+002  0.0000000000000000E+000  0.3387321064971945E-008
                        0                      234                      234                        0  0.1381645373184619E+002  0.0000000000000000E+000  0.3417336442515963E-008
                        0                      241                      241                        0  0.1422968984562289E+002  0.0000000000000000E+000  0.3383070071152960E-008
                        0                      246                      246                        0  0.1452460757618017E+002  0.0000000000000000E+000  0.3497716338671236E-008
                        0                      251                      251                        0  0.1481934145404483E+002  0.0000000000000000E+000  0.3396212308970955E-008
                        0                      258                      258                        0  0.1523264783135403E+002  0.0000000000000000E+000  0.3424953696797263E-008
                        0                      263                      263                        0  0.1552788234230414E+002  0.0000000000000000E+000  0.3356005695667571E-008
                        0                      268                      268                        0  0.1582307214748829E+002  0.0000000000000000E+000  0.3392699773068314E-008
                        0                      275                      275                        0  0.1623610221653614E+002  0.0000000000000000E+000  0.3393944460906786E-008
                        0                      280                      280                        0  0.1653133409859643E+002  0.0000000000000000E+000  0.3338056198986188E-008
                        0                      287                      287                        0  0.1694445126277144E+002  0.0000000000000000E+000  0.3325630075480825E-008
                        0                      292                      292                        0  0.1723988910803661E+002  0.0000000000000000E+000  0.3376092822568831E-008
                        0                      297                      297                        0  0.1753486776363032E+002  0.0000000000000000E+000  0.3434553551102186E-008
                        0                      304                      304                        0  0.1794800991133089E+002  0.0000000000000000E+000  0.3412841817023131E-008
                        0                      309                      309                        0  0.1824316041396151E+002  0.0000000000000000E+000  0.3381324442086879E-008
                        0                      314                      314                        0  0.1853830645398271E+002  0.0000000000000000E+000  0.3416899834465034E-008
                        0                      321                      321                        0  0.1895155588441302E+002  0.0000000000000000E+000  0.3425068799109263E-008
                        0                      326                      326                        0  0.1924642317702885E+002  0.0000000000000000E+000  0.3419808067938408E-008
                        0                      331                      331                        0  0.1954167837812087E+002  0.0000000000000000E+000  0.3347302343327277E-008
                        0                      338                      338                        0  0.1995487185454702E+002  0.0000000000000000E+000  0.3365583291715644E-008
