                                                                                                                                                                                                                                                                



                        1                        2                        3                        4                        5                        6                        7
                        l                     n_pg                      n_p                      n_g                 Re(freq)                 Im(freq)                   E_norm
                        0                        1                        1                        0  0.4521162814950854E+001  0.0000000000000000E+000  0.1594981396055512E+000
                        0                        2                        2                        0  0.9670741658469629E+001  0.0000000000000000E+000  0.9575979034024091E-002
                        0                        3                        3                        0  0.1402408082062665E+002  0.0000000000000000E+000  0.1625603538140246E-002
                        0                        4                        4                        0  0.1811814942776867E+002  0.0000000000000000E+000  0.3913574654864858E-003
