                                                                                                                                                                                                                                                                



                        1                        2                        3                        4                        5                        6                        7
                        l                     n_pg                      n_p                      n_g                 Re(freq)                 Im(freq)                   E_norm
                        0                        1                        1                        0  0.1925816413076952E+000  0.0000000000000000E+000  0.8205521066157059E-001
                        0                        2                        2                        0  0.3886755139208033E+000  0.0000000000000000E+000  0.1856449289296382E-002
                        0                        3                        3                        0  0.5397827787594303E+000  0.0000000000000000E+000  0.1420714856185858E-003
                        0                        4                        4                        0  0.6625078365910559E+000  0.0000000000000000E+000  0.3661928846030939E-004
                        0                        5                        5                        0  0.7984772980216583E+000  0.0000000000000000E+000  0.1406798840389901E-004
                        0                        6                        6                        0  0.9286491464792715E+000  0.0000000000000000E+000  0.8126468161066496E-005
                        0                        7                        7                        0  0.1071677717379020E+001  0.0000000000000000E+000  0.4330018323573444E-005
                        0                        8                        8                        0  0.1209502719418674E+001  0.0000000000000000E+000  0.2260026464044533E-005
                        0                        9                        9                        0  0.1353081074558283E+001  0.0000000000000000E+000  0.9254268024781294E-006
                        0                       10                       10                        0  0.1495792907137713E+001  0.0000000000000000E+000  0.4481582854895912E-006
                        0                       11                       11                        0  0.1638059213555160E+001  0.0000000000000000E+000  0.1952920273129720E-006
                        0                       12                       12                        0  0.1778347770294303E+001  0.0000000000000000E+000  0.7083509305167598E-007
                        0                       13                       13                        0  0.1913068417510963E+001  0.0000000000000000E+000  0.2205405468229520E-007
                        0                       14                       14                        0  0.2034953781119116E+001  0.0000000000000000E+000  0.7613694468726648E-008
                        0                       15                       15                        0  0.2147864150793618E+001  0.0000000000000000E+000  0.4759320798136060E-008
                        0                       16                       16                        0  0.2270712249938212E+001  0.0000000000000000E+000  0.4593274343817449E-008
                        0                       17                       17                        0  0.2405007113825621E+001  0.0000000000000000E+000  0.3986312734329846E-008
                        0                       18                       18                        0  0.2542656527318177E+001  0.0000000000000000E+000  0.2479658809995398E-008
                        0                       19                       19                        0  0.2677920302805386E+001  0.0000000000000000E+000  0.1070223548120570E-008
                        0                       20                       20                        0  0.2800056464306940E+001  0.0000000000000000E+000  0.4002417017494265E-009
                        0                       21                       21                        0  0.2904000376307551E+001  0.0000000000000000E+000  0.2674614202062768E-009
                        0                       22                       22                        0  0.3018311163006014E+001  0.0000000000000000E+000  0.3539914511718346E-009
                        0                       23                       23                        0  0.3148096730323468E+001  0.0000000000000000E+000  0.4567329370218469E-009
                        0                       24                       24                        0  0.3279910203694388E+001  0.0000000000000000E+000  0.4316015868373240E-009
                        0                       25                       25                        0  0.3406368248315911E+001  0.0000000000000000E+000  0.3538197900512506E-009
                        0                       26                       26                        0  0.3526816412836915E+001  0.0000000000000000E+000  0.3462669553512265E-009
                        0                       27                       27                        0  0.3650472508555316E+001  0.0000000000000000E+000  0.4516121731597341E-009
                        0                       28                       28                        0  0.3782137458858953E+001  0.0000000000000000E+000  0.6250323624613303E-009
                        0                       29                       29                        0  0.3918779745665026E+001  0.0000000000000000E+000  0.7361086450235552E-009
                        0                       30                       30                        0  0.4056403388864682E+001  0.0000000000000000E+000  0.6906505496624189E-009
                        0                       31                       31                        0  0.4191557337696358E+001  0.0000000000000000E+000  0.5289522901373778E-009
                        0                       32                       32                        0  0.4320377162766063E+001  0.0000000000000000E+000  0.3773291270228060E-009
                        0                       33                       33                        0  0.4442361436377745E+001  0.0000000000000000E+000  0.3233059934578021E-009
                        0                       34                       34                        0  0.4565428703451650E+001  0.0000000000000000E+000  0.3758510959451798E-009
                        0                       35                       35                        0  0.4695662150376153E+001  0.0000000000000000E+000  0.4931366114076273E-009
                        0                       36                       36                        0  0.4830989582034230E+001  0.0000000000000000E+000  0.5840446135900314E-009
                        0                       37                       37                        0  0.4967600223347780E+001  0.0000000000000000E+000  0.5762689959890091E-009
                        0                       38                       38                        0  0.5102235303821051E+001  0.0000000000000000E+000  0.4842462929165902E-009
                        0                       39                       39                        0  0.5232144574928149E+001  0.0000000000000000E+000  0.3877737920642563E-009
                        0                       40                       40                        0  0.5357507332778630E+001  0.0000000000000000E+000  0.3529648499899330E-009
                        0                       41                       41                        0  0.5483452560455201E+001  0.0000000000000000E+000  0.3966270658514780E-009
                        0                       42                       42                        0  0.5614262156925239E+001  0.0000000000000000E+000  0.4908601060824420E-009
                        0                       43                       43                        0  0.5749167833917789E+001  0.0000000000000000E+000  0.5693261148491181E-009
                        0                       44                       44                        0  0.5885436097164415E+001  0.0000000000000000E+000  0.5737321221364914E-009
                        0                       45                       45                        0  0.6020431159896364E+001  0.0000000000000000E+000  0.5050252415917336E-009
                        0                       46                       46                        0  0.6151899231646889E+001  0.0000000000000000E+000  0.4193471469189114E-009
                        0                       47                       47                        0  0.6279419928634746E+001  0.0000000000000000E+000  0.3752528192032898E-009
                        0                       48                       48                        0  0.6406230278502466E+001  0.0000000000000000E+000  0.3964775500340275E-009
                        0                       49                       49                        0  0.6536274511594350E+001  0.0000000000000000E+000  0.4685240162558228E-009
                        0                       50                       50                        0  0.6670053241004777E+001  0.0000000000000000E+000  0.5448381358841593E-009
                        0                       51                       51                        0  0.6805665932498030E+001  0.0000000000000000E+000  0.5730938761154282E-009
                        0                       52                       52                        0  0.6940943069038148E+001  0.0000000000000000E+000  0.5382692319515782E-009
                        0                       53                       53                        0  0.7074027496307258E+001  0.0000000000000000E+000  0.4707120791598877E-009
                        0                       54                       54                        0  0.7204096802352669E+001  0.0000000000000000E+000  0.4197275189029869E-009
                        0                       55                       55                        0  0.7332674787252303E+001  0.0000000000000000E+000  0.4140389531746155E-009
                        0                       56                       56                        0  0.7462594488798798E+001  0.0000000000000000E+000  0.4512890459482897E-009
                        0                       57                       57                        0  0.7595238389526038E+001  0.0000000000000000E+000  0.5019172620566838E-009
                        0                       58                       58                        0  0.7729759219452156E+001  0.0000000000000000E+000  0.5259495174976420E-009
                        0                       59                       59                        0  0.7864419226818345E+001  0.0000000000000000E+000  0.5041721640948651E-009
                        0                       60                       60                        0  0.7997517205583371E+001  0.0000000000000000E+000  0.4525739361708267E-009
                        0                       61                       61                        0  0.8128079634843429E+001  0.0000000000000000E+000  0.4078157183130924E-009
